site_code,Long,Lat,year,block,plot,trt,Family,Taxon,num_leaves,leaf_pct_N,leaf_pct_C,leaf_C13_delta_PDB,leaf_area_mm2,leaf_dry_mass_g,leaf_ppm_P,leaf_ppm_B,leaf_ppm_Na,leaf_ppm_Ca,leaf_ppm_Fe,leaf_ppm_K,leaf_ppm_Mg,leaf_ppm_Mn,leaf_ppm_Cu,leaf_ppm_Zn,leaf_ppm_Sr,leaf_ppm_Pb,leaf_ppm_Mo,SLA_v2,Ntrt,Ptrt,Ktrt,Nfix,first_nutrient_year,site_name,continent,country,region,habitat,lifespan,lifeform,photosynthetic_pathway,max_cover,live_mass,precip.mean,tmp,par2_gs,aridity
bldr.us,-105.233544,39.972022,2011,1,6,K,Poaceae,ELYMUS SMITHII,5,2.243823452,49.53363301,-27.79493762,642.931,0.19,2624.113184,14.91567808,511.983424,4773.09624,100.8314104,22880.74528,1802.641328,45.4523984,4.49966856,32.8707624,32.2565408,0.291854328,NA,3214.655,0,0,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C3,1,59,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,8,NP,Poaceae,ELYMUS SMITHII,5,3.074606261,44.63815139,-15.94878104,1259.284,0.33,2537.22392,15.19120416,7088.5144,4672.70584,72.9027816,22115.45072,2458.66104,34.6033776,6.7671208,23.2831808,29.0504104,0.25979316,NA,6296.42,1,1,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C3,0.1,354,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,17,NPK,Poaceae,ELYMUS SMITHII,5,3.398617094,48.65042226,-28.69204757,1176.972,0.25,1793.413765,14.632202,175.87713,8011.37285,50.243687,18195.77305,1626.257815,73.500167,5.0001432,35.659936,45.0352045,0.10901475,1.031279535,5884.86,1,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C3,1,135,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,18,NK,Poaceae,ELYMUS SMITHII,5,5.158170579,45.70799953,-29.57325891,1635.121,0.13,5247.50694,36.646389,122.680272,12555.9876,123.480162,49737.1602,6867.627,36.4269906,17.1724956,45.113796,67.76211,0.11746956,0.137124,8175.605,1,0,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C3,0.1,117,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,19,Fence,Poaceae,ELYMUS SMITHII,5,3.259359568,51.22146579,-28.76948043,1187.613,0.2,2340.7997,12.78220055,154.3544835,5052.95165,56.8809205,17991.37625,1203.6935,22.7165135,4.9633149,37.186446,32.0387355,0.843353765,0.098702867,5938.065,0,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C3,0.1,95,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,1,P,Poaceae,POA COMPRESSA,5,1.969838359,45.01158278,-15.59200229,626.696,0.16,5072.8524,34.1393514,1793.95326,6126.1332,75.755196,17379.1332,3217.00764,47.82525,6.875583,35.78454,34.501698,0.36032106,NA,3133.48,0,1,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C3,2,58,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,16,PK,Poaceae,POA COMPRESSA,5,0.657595748,46.73007617,-28.00107746,606.253,0.05,1507.74345,14.004981,201.009095,4151.9605,285.75395,3315.4935,1546.06205,47.547775,2.313135,14.6194805,31.472655,0.48809485,0.30444595,3031.265,0,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C3,NA,228.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,1,P,Poaceae,SPOROBOLUS AIROIDES,5,1.724761574,46.45639265,-15.1407437,634.137,0.15,6624.6256,12.69735392,5546.8464,5515.25632,170.586432,14432.95008,3040.08064,57.9585056,6.23996992,34.8791648,29.1557856,0.295645984,NA,3170.685,0,1,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,9,58,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,2,Fence,Poaceae,SPOROBOLUS AIROIDES,5,1.928260396,42.9099533,-15.74139243,12606.488,0.21,5252.184,11.495589,3982.048,5089.126,151.25775,16503.186,1826.2496,33.619985,5.8293235,51.14872,21.776825,0.42845635,0.31302845,63032.44,0,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,35,99,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,3,N,Poaceae,SPOROBOLUS AIROIDES,5,3.100310051,46.15550498,-16.37062339,976.34,0.24,1716.633952,14.35266976,6646.464,5584.876,82.526928,11838.09088,2699.20288,27.8228368,5.19162688,27.8228368,29.5029152,0.230041504,NA,4881.7,1,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,40,125,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,4,NK,Poaceae,SPOROBOLUS AIROIDES,5,2.972999573,45.10670345,-15.86493792,1614.096,0.39,1669.500284,14.69044776,4723.60504,5448.9256,75.2565188,23771.389,2960.82348,40.4880432,7.61045304,25.3320912,28.4895812,0.377274948,NA,8070.48,1,0,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,48,151.5,448.5731709,10.59856789,978.2125854,0.2813
