"","site_code","Long","Lat","year","block","plot","trt","Family","Taxon","num_leaves","leaf_pct_N","leaf_pct_C","leaf_C13_delta_PDB","leaf_area_mm2","leaf_dry_mass_g","leaf_ppm_P","leaf_ppm_B","leaf_ppm_Na","leaf_ppm_Ca","leaf_ppm_Fe","leaf_ppm_K","leaf_ppm_Mg","leaf_ppm_Mn","leaf_ppm_Cu","leaf_ppm_Zn","leaf_ppm_Sr","leaf_ppm_Pb","leaf_ppm_Mo","SLA_v2","Ntrt","Ptrt","Ktrt","Nfix","first_nutrient_year","site_name","continent","country","region","habitat","lifespan","lifeform","photosynthetic_pathway","max_cover","live_mass","precip.mean","tmp","par2_gs","aridity","Ntrt_fac","Ptrt_fac","Ktrt_fac","block_fac","trt_fac","sla_m2_g","lma","narea","nmass","spp_live_mass","delta","chi","fence","loglma","lognarea","lognmass","log_spp_live_mass"
"254","burrawan.au",151.139517,-27.734896,2011,1,4,"N","Asteraceae","EPALTES AUSTRALIS",15,2.754008268,43.93545603,-30.91147504,1864.28,0.01284,1671.542909,69.59299564,30481.07658,14869.08431,86.41767591,15513.66622,6871.898628,168.2468026,9.395600667,61.61766019,142.0265217,0.231612482,0.24363,15730.57132,1,0,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",3,597.75,632.3195123,19.00669643,977.7897213,0.3434,"1","0","0","1","N",0.01573057132,63.5704819397494,1.75073632862815,2.754008268,17.9325,23.642293196017,0.85142890247863,"no",4.15214924216466,0.560036458657169,1.01305740248061,2.88661470901845
"255","burrawan.au",151.139517,-27.734896,2011,1,6,"NP","Asteraceae","EPALTES AUSTRALIS",15,3.832599582,43.37691812,-29.2815351,1418.7784,0.01496,2688.987716,102.6905597,28107.1144,22020.92821,135.0026755,6661.607428,6672.673222,227.9553373,15.60276823,28.54974612,206.9303304,0.177052689,0.156028,9531.280657,1,1,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",6,247,632.3195123,19.00669643,977.7897213,0.3434,"1","1","0","1","NP",0.009531280657,104.917695322042,4.02107515235662,3.832599582,14.82,21.9234884979677,0.775375597255207,"no",4.65317618870749,1.39154931770731,1.34354331498791,2.69597761986794
"257","burrawan.au",151.139517,-27.734896,2011,1,8,"P","Asteraceae","EPALTES AUSTRALIS",15,3.527049612,44.83093221,-29.54977295,2106.84,0.02258,5878.075439,101.0729183,26231.8485,18415.82833,142.4014633,11028.08325,5663.9379,375.8113805,19.27237849,128.4825233,211.9961634,0.117775646,1.254846,9495.16877,0,1,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",6,208.6,632.3195123,19.00669643,977.7897213,0.3434,"0","1","0","1","P",0.00949516877,105.316716766478,3.71457285008321,3.527049612,12.516,22.2059538442353,0.787874063904218,"no",4.65697216025763,1.31226369176986,1.26046171750032,2.52700782580664
"258","burrawan.au",151.139517,-27.734896,2011,1,9,"PK","Asteraceae","EPALTES AUSTRALIS",15,2.931689128,42.10279673,-30.3023985,2119.4,0.0398,3890,68.2,19300,15700,215,10620,5830,283,8.53,45.3,120.1,0.145,0.0805,10612.60916,0,1,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",4,319.25,632.3195123,19.00669643,977.7897213,0.3434,"0","1","1","1","PK",0.01061260916,94.2275348996269,2.76245839623477,2.931689128,12.77,22.9993334679812,0.822979356990317,"no",4.54571244141406,1.01612100654396,1.07557875111799,2.54709867004445
"259","burrawan.au",151.139517,-27.734896,2011,1,10,"K","Asteraceae","EPALTES AUSTRALIS",15,3.087488621,42.58507313,-30.17089746,1856.08,0.01978,1961.250595,121.7327955,33025.65657,22430.39473,185.9806599,9411.748544,7089.808185,383.2328749,11.04612404,91.97588997,211.9052367,0.078900886,0.121733,9554.967406,0,0,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",2,217.1,632.3195123,19.00669643,977.7897213,0.3434,"0","0","1","1","K",0.009554967406,104.657604522236,3.23129163063521,3.087488621,4.342,22.8606229715462,0.816841724404701,"no",4.65069411249404,1.17288194294718,1.12735801644123,1.4683350714561
"260","burrawan.au",151.139517,-27.734896,2011,2,11,"NP","Asteraceae","EPALTES AUSTRALIS",15,3.111799559,37.42429503,-30.76507806,1899.62,0.01116,6156.477127,94.78409577,52714.8354,16802.05216,255.6220607,13133.81787,12466.86618,370.671227,18.36682343,142.3685336,179.5639162,0.695168876,0.32578,19181.99527,1,1,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",5,296,632.3195123,19.00669643,977.7897213,0.3434,"1","1","0","2","NP",0.01918199527,52.1322201326974,1.62225019618619,3.111799559,14.8,23.4876783168666,0.844587536144539,"no",3.95378318626175,0.483814195453753,1.1352011951801,2.69462718077007
"261","burrawan.au",151.139517,-27.734896,2011,2,13,"K","Asteraceae","EPALTES AUSTRALIS",15,3.068333095,40.33583033,-30.0364629,1839.28,0.0126,3236.810789,74.25624752,25942.08647,17493.05831,90.44030147,23205.07735,4105.513685,85.20428401,15.11305038,111.8603729,195.1606505,0.082110274,0.321301,15550.64283,0,0,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",2,287.6,632.3195123,19.00669643,977.7897213,0.3434,"0","0","1","2","K",0.01555064283,64.306023289971,1.97312299468459,3.068333095,5.752,22.7188570055785,0.810568894052144,"no",4.16365330166151,0.679617564015171,1.12113444834175,1.74954762041875
"262","burrawan.au",151.139517,-27.734896,2011,2,15,"P","Asteraceae","EPALTES AUSTRALIS",15,1.951507886,40.1693804,-28.94404674,2306.46,0.02632,2366.003635,112.3254251,34773.08372,25810.94874,84.84154447,4887.350942,9559.610645,211.5063855,13.44320247,72.89203117,228.2357041,0.102765814,0.136224,9731.213893,0,1,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",6,148.35,632.3195123,19.00669643,977.7897213,0.3434,"0","1","0","2","P",0.009731213893,102.762102549132,2.00541053506571,1.951507886,8.901,21.5683212380165,0.759660231770641,"no",4.63241663280632,0.695848795442703,0.668602348624475,2.18616362997679
"263","burrawan.au",151.139517,-27.734896,2011,2,16,"NPK","Asteraceae","EPALTES AUSTRALIS",15,3.13049957,40.16716119,-31.28603096,1753.12,0.0093,3348.51,102.94,41078.33,16431.33,271.37,15672.01,9510.26,588.79,18.67,121.99,196.68,0.17,NA,20827.29979,1,1,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",1,618.95,632.3195123,19.00669643,977.7897213,0.3434,"1","1","1","2","NPK",0.02082729979,48.0139053109582,1.50307509929975,3.13049957,6.1895,24.0380873035996,0.868941916088478,"no",3.87149066293299,0.407513075789867,1.14119259884497,1.82285430798973
"264","burrawan.au",151.139517,-27.734896,2011,2,17,"N","Asteraceae","EPALTES AUSTRALIS",15,3.597191208,40.08997044,-30.31159541,2239.78,0.01816,2921.42679,81.8957346,25742.08032,16570.71589,149.6632577,9219.256672,5878.772761,347.2187578,14.75081068,41.0675979,148.7054128,0.120927912,0.610626,12368.35966,1,0,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",1,546.25,632.3195123,19.00669643,977.7897213,0.3434,"1","0","0","2","N",0.01236835966,80.8514651489363,2.90838179587672,3.597191208,5.4625,23.0090360000063,0.823408672566651,"no",4.39261370767631,1.06759684262025,1.28015332093203,1.69790656042171
"265","burrawan.au",151.139517,-27.734896,2011,2,18,"NK","Asteraceae","EPALTES AUSTRALIS",15,3.436356246,38.26685712,-30.51034164,2071.6,0.01716,3311.469412,97.5880001,49044.86895,13546.92032,288.4992291,16068.15272,6497.504377,439.020566,17.81169154,184.3886377,174.3538819,0.153030026,0.091567,13280.76183,1,0,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",4,419.2,632.3195123,19.00669643,977.7897213,0.3434,"1","0","1","2","NK",0.01328076183,75.296885284178,2.58746922050631,3.436356246,16.768,23.2187537493476,0.832688218997683,"no",4.32143876986239,0.950680263064236,1.23441167918994,2.81947230813863
"266","burrawan.au",151.139517,-27.734896,2011,2,19,"PK","Asteraceae","EPALTES AUSTRALIS",15,3.128032969,39.63520408,-30.1331169,2099.76,0.01428,3543.534755,145.9316261,28193.26353,25432.06762,134.184433,10487.70026,7520.62571,210.1173206,19.74012867,57.64601993,204.6675918,0.094461965,0.20709,16761.55514,0,1,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",3,481.6,632.3195123,19.00669643,977.7897213,0.3434,"0","1","1","2","PK",0.01676155514,59.6603353118224,1.86619495796975,3.128032969,14.448,22.8207780734358,0.815078675815743,"no",4.08866739945,0.623901576051062,1.14040436258916,2.67055599667463
"267","burrawan.au",151.139517,-27.734896,2011,2,20,"Control","Asteraceae","EPALTES AUSTRALIS",15,2.71070308,39.66405273,-30.51654446,1880.94,0.0147,2474.788221,127.0673659,38241.2263,18757.56353,140.3791852,9995.966115,5724.082291,187.5756353,14.94554256,106.2525212,168.0919726,0.135538524,0.171843,12985.42606,0,0,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",3,232.3,632.3195123,19.00669643,977.7897213,0.3434,"0","0","0","2","Control",0.01298542606,77.0094100401046,2.08749644984694,2.71070308,6.969,23.2253003713801,0.832977892538941,"no",4.3439276226999,0.735965477069305,0.997208040357493,1.94147174245638
"268","burrawan.au",151.139517,-27.734896,2011,3,21,"N","Asteraceae","EPALTES AUSTRALIS",15,2.535913767,46.72149989,-30.19724431,2086.66,0.02238,1602.688274,116.0921634,19828.13056,27019.68051,83.21650652,4397.11911,6102.543811,157.1867345,5.650503529,160.2688274,436.6298181,0.125338442,0.066779,9580.406819,1,0,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",1,190.05,632.3195123,19.00669643,977.7897213,0.3434,"1","0","0","3","N",0.009580406819,104.379701080834,2.64697920966231,2.535913767,1.9005,22.8884112565828,0.818071294539061,"no",4.64803522245215,0.973419068912006,0.93055403244795,0.642117009447166
"269","burrawan.au",151.139517,-27.734896,2011,3,22,"NK","Asteraceae","EPALTES AUSTRALIS",15,3.135272638,42.4863069,-31.06649136,2943.52,0.01924,2824.43942,56.3,25419.95478,27114.61843,103.9393706,24855.06689,6066.895873,73.09649218,7.569497645,93.77138873,316.337215,0.093771389,0.179634,15159.75431,1,0,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",1,189.25,632.3195123,19.00669643,977.7897213,0.3434,"1","0","1","3","NK",0.01515975431,65.9641297313347,2.06815531036136,3.135272638,1.8925,23.8060621851919,0.858675317928845,"no",4.18911110536362,0.726657055548317,1.14271613617279,0.637898706329467
"270","burrawan.au",151.139517,-27.734896,2011,3,23,"P","Asteraceae","EPALTES AUSTRALIS",15,4.080578909,46.8920086,-28.90209526,1814.14,0.01746,6725.239745,94.27619186,17811.13722,22519.82868,113.622772,8107.138323,6080.353742,68.5831146,10.91188062,101.339229,158.6624293,0.071654,0.325514,11353.88936,0,1,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",1,208.15,632.3195123,19.00669643,977.7897213,0.3434,"0","1","0","3","P",0.01135388936,88.0755455943601,3.59399213751014,4.080578909,2.0815,21.5241894333984,0.757707497053025,"no",4.47819491886449,1.27926360068789,1.4062388678115,0.733088787652893
"271","burrawan.au",151.139517,-27.734896,2011,3,24,"Control","Asteraceae","EPALTES AUSTRALIS",15,2.999481866,45.25518959,-30.2981632,2310.36,0.02178,2820.273236,121.3,21000.90639,24819.253,151.6732128,7541.234566,5600.241703,210.0090639,14.22334114,120.9143095,318.1955513,0.070003021,0.128445,10888.23971,0,0,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",1,125.15,632.3195123,19.00669643,977.7897213,0.3434,"0","0","0","3","Control",0.01088823971,91.842210185874,2.7547904398589,2.999481866,1.2515,22.9948653841717,0.822781654166888,"no",4.52007199789442,1.01334137432479,1.09843956241846,0.224342831889692
"272","burrawan.au",151.139517,-27.734896,2011,3,25,"NP","Asteraceae","EPALTES AUSTRALIS",15,3.087739782,42.94031542,-29.9037797,1811.76,0.0157,8512.855,79.71811,2571.0325,20482.38,336.4349,4480.3596,7997.575,193.76675,20.658434,164.58902,205.33908,0.1936594,0.713233,11987.92088,1,1,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",4,180.05,632.3195123,19.00669643,977.7897213,0.3434,"1","1","0","3","NP",0.01198792088,83.4173006320342,2.57570917668586,3.087739782,7.202,22.5789764372304,0.804379488373028,"no",4.42385572948277,0.946124904619454,1.12743936112478,1.97435876522668
"273","burrawan.au",151.139517,-27.734896,2011,3,26,"PK","Asteraceae","EPALTES AUSTRALIS",15,3.796808077,44.67924067,-29.8914771,1626.26,0.02948,2439.790792,133,16759.46119,24172.29979,153.6283942,4533.649116,5414.595153,82.72298151,12.42993372,49.41892402,217.0135359,0.078425684,0.074128,6930.262755,0,1,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",3,626.85,632.3195123,19.00669643,977.7897213,0.3434,"0","1","1","3","PK",0.006930262755,144.294673283279,5.47859180990029,3.796808077,18.8055,22.5660084240458,0.803805682479901,"no",4.97185755091469,1.70084809894144,1.33416073401484,2.93414938024205
"274","burrawan.au",151.139517,-27.734896,2011,3,28,"NPK","Asteraceae","EPALTES AUSTRALIS",15,2.447156337,44.3625321,-30.18626104,2239.66,0.02214,10495.34321,124.5,22959.91576,28131.84777,135.2492681,6026.707389,5821.128501,155.8071569,9.31596959,200.1689169,247.7766592,0.056480094,0.180693,10401.25199,1,1,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",2,228.8,632.3195123,19.00669643,977.7897213,0.3434,"1","1","1","3","NPK",0.01040125199,96.1422721958301,2.35275170657605,2.447156337,4.576,22.8768269088371,0.817558712780401,"no",4.56582909642649,0.855585582110252,0.894926671671849,1.5208252540775
"275","burrawan.au",151.139517,-27.734896,2011,3,29,"K","Asteraceae","EPALTES AUSTRALIS",15,2.673132613,42.67140553,-29.49598125,1484.02,0.01946,3014.66517,140,19235.36358,29584.21417,107.9880061,7109.2104,4939.326403,232.8491381,13.13854074,182.2297603,298.0918918,0.113612381,0.088865,7775.178615,0,0,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C3",2,400.85,632.3195123,19.00669643,977.7897213,0.3434,"0","0","1","3","K",0.007775178615,128.614408686481,3.43803370361544,2.673132613,8.017,22.1492964837865,0.785367101052498,"no",4.85681884819036,1.2348997101748,0.983251047972535,2.08156428706081
"301","burrawan.au",151.139517,-27.734896,2011,3,29,"K","Cyperaceae","FIMBRISTYLIS DICHOTOMA",15,1.107387679,43.79019587,-12.57740829,1501.04,0.03756,971.1762908,22.78866262,2817.068925,3244.561874,69.60462129,26088.03129,930.6192673,154.5551433,7.694873094,15.01706003,26.85532632,0.080017911,0.11619,4515.734429,0,0,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","HERB","C4",15,400.85,632.3195123,19.00669643,977.7897213,0.3434,"0","0","1","3","K",0.004515734429,221.447920758584,2.45228698988224,1.107387679,60.1275,4.63571355205974,0.124059764241969,"no",5.40018744111124,0.897021054406936,0.102003799283791,4.09646730760308
"303","burrawan.au",151.139517,-27.734896,2011,1,1,"Control","Poaceae","ERAGROSTIS CURVULA",15,1.031234195,49.54475678,-13.75188485,8050.914,0.19654,455.343627,8.864668483,172.4492885,1414.471692,39.72146533,6742.960945,452.4371783,43.59673025,2.993642144,16.76052074,17.4386921,0.207326673,0.177293,4103.194839,0,0,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",60,501.05,632.3195123,19.00669643,977.7897213,0.3434,"0","0","0","1","Control",0.004103194839,243.712531146513,2.51324695868287,1.031234195,300.63,5.83208703940102,0.753730020737379,"no",5.4959893796888,0.921575526189409,0.0307563324887023,5.70588027273835
"304","burrawan.au",151.139517,-27.734896,2011,1,2,"NK","Poaceae","ERAGROSTIS CURVULA",15,1.616484814,51.94325837,-13.545878,7252.7076,0.16796,560,10.26,80,1720,43,9800,400,80,3.37,16.2,19.9,0.137,0.0239,4342.148561,1,0,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",90,617.85,632.3195123,19.00669643,977.7897213,0.3434,"1","0","1","1","NK",0.004342148561,230.30073383065,3.72277638890301,1.616484814,556.065,5.62203337825375,0.643175462238817,"no",5.43938599323342,1.31446973101399,0.48025392376867,6.32088519389237
"305","burrawan.au",151.139517,-27.734896,2011,1,3,"NPK","Poaceae","ERAGROSTIS CURVULA",15,1.158685462,50.76310129,-13.4023385,7645.9092,0.21262,1200,10.2,41,1880,35.6,7910,457,58,2.49,10.5,19.9,0.0649,0.0182,3608.549844,1,1,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",25,213.65,632.3195123,19.00669643,977.7897213,0.3434,"1","1","1","1","NPK",0.003608549844,277.119630663469,3.21094487284571,1.158685462,53.4125,5.47572603383877,0.566171596757248,"no",5.62444929260568,1.16656524674004,0.147286140122456,3.97804480097014
"306","burrawan.au",151.139517,-27.734896,2011,1,4,"N","Poaceae","ERAGROSTIS CURVULA",15,1.535496156,48.40977118,-13.45574101,6820.45,0.14308,783.3129361,29.74606086,79322.82897,6147.519245,90.22971795,14873.03043,1983.070724,267.7145478,11.89842435,70.39901071,69.40747535,0.12195885,0.081306,4920.91332,1,0,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",75,597.75,632.3195123,19.00669643,977.7897213,0.3434,"1","0","0","1","N",0.00492091332,203.214309005549,3.12034790322216,1.535496156,448.3125,5.53015332083069,0.594817537279311,"no",5.31426113155946,1.1379445030479,0.428853557476525,6.10549053388665
"310","burrawan.au",151.139517,-27.734896,2011,1,8,"P","Poaceae","ERAGROSTIS CURVULA",15,1.293936265,47.37794676,-13.42140677,5382.8794,0.17098,2046.521781,9.330923567,92.19479312,2117.440853,38.4989246,5572.212771,597.7464609,42.55144298,3.545953581,13.57593657,20.26259189,0.059774646,0.119549,3170.528671,0,1,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",20,208.6,632.3195123,19.00669643,977.7897213,0.3434,"0","1","0","1","P",0.003170528671,315.404812183766,4.08113724640089,1.293936265,41.72,5.49515954147215,0.576399758669551,"no",5.75385693181193,1.40637568643913,0.257688940615292,3.73098063013257
"311","burrawan.au",151.139517,-27.734896,2011,1,9,"PK","Poaceae","ERAGROSTIS CURVULA",15,1.174986966,46.90325187,-13.76800826,5740.3,0.19936,1821.622096,9.210448802,47.68965713,1954.661913,47.79199545,7255.78689,383.7687001,60.68662378,2.681263985,8.371274578,19.03492753,0.049736424,0.050146,2917.571334,0,1,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",40,319.25,632.3195123,19.00669643,977.7897213,0.3434,"0","1","1","1","PK",0.002917571334,342.750831263823,4.02727759320657,1.174986966,127.7,5.84853088148515,0.76238467446587,"no",5.83700374371686,1.39309061249741,0.16125705476864,4.84968376303849
"312","burrawan.au",151.139517,-27.734896,2011,1,10,"K","Poaceae","ERAGROSTIS CURVULA",15,0.982889809,48.3441602,-13.69354271,5436.7,0.18818,597,10.54,54.91,2010,47.5,7010,312,89.2,2.677,9.17,17,0.051,0.035,2885.256427,0,0,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",80,217.1,632.3195123,19.00669643,977.7897213,0.3434,"0","0","1","1","K",0.002885256427,346.589644733854,3.40659429713836,0.982889809,173.68,5.77258991656986,0.722415745563086,"no",5.84814150012963,1.22571305238034,-0.0172582617611985,5.15721452557004
"313","burrawan.au",151.139517,-27.734896,2011,2,11,"NP","Poaceae","ERAGROSTIS CURVULA",15,1.794918766,44.55016946,-12.98567238,4235.74,0.13054,2918.06,11.13,471.38,2401.79,120.54,11672.23,907.97,67.34,6.13,21.44,23.46,0.12,NA,3226.128773,1,1,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",90,296,632.3195123,19.00669643,977.7897213,0.3434,"1","1","0","2","NP",0.003226128773,309.96902800941,5.56369225252869,1.794918766,266.4,5.05126647150302,0.342771827106852,"no",5.73647238284083,1.7162619620586,0.584959765205865,5.58499893866623
"315","burrawan.au",151.139517,-27.734896,2011,2,13,"K","Poaceae","ERAGROSTIS CURVULA",15,1.059359825,42.15918384,-13.17742942,5845.28,0.17716,766.2420835,10.28107877,133.2099907,2356.792144,84.25247278,10246.92237,489.5751797,71.72845656,4.941293674,22.88479328,19.01373372,0.210631182,0.092222,3317.705819,0,0,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",60,287.6,632.3195123,19.00669643,977.7897213,0.3434,"0","0","1","2","K",0.003317705819,301.413101268097,3.19304930212078,1.059359825,172.56,5.24656566879798,0.445560878314726,"no",5.70848175329048,1.16097635430269,0.0576647870003058,5.1507450020809
"317","burrawan.au",151.139517,-27.734896,2011,2,15,"P","Poaceae","ERAGROSTIS CURVULA",15,1.046299926,42.29261118,-12.97776168,5130.3,0.16416,2803.300783,9.896673208,251.9565886,2383.373135,37.67999433,6866.384508,885.2528787,74.90601282,3.529662119,16.22963611,18.38602133,0.072636134,0.082851,3426.594821,0,1,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",60,148.35,632.3195123,19.00669643,977.7897213,0.3434,"0","1","0","2","P",0.003426594821,291.83491257019,3.05346847426406,1.046299926,89.01,5.04321127401607,0.338532249482142,"no",5.67618827447727,1.11627814916863,0.0452600606794488,4.48874872297084
"318","burrawan.au",151.139517,-27.734896,2011,2,16,"NPK","Poaceae","ERAGROSTIS CURVULA",15,1.325923371,45.11075689,-13.15847705,4471.3,0.128,1584.99,11.96,69.5,2183.51,85.57,11006.24,651.73,107.4,5.05,13.81,16.51,0.08,NA,3470.451229,1,1,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",100,618.95,632.3195123,19.00669643,977.7897213,0.3434,"1","1","1","2","NPK",0.003470451229,288.146968222385,3.82060799448855,1.325923371,618.95,5.22725982848754,0.435399909730284,"no",5.66347065630168,1.34040957081461,0.282109100501028,6.42802449397782
"319","burrawan.au",151.139517,-27.734896,2011,2,17,"N","Poaceae","ERAGROSTIS CURVULA",15,1.467242891,43.67404139,-13.27752337,5945.16,0.15746,673.844325,6.3152604,31.680264,1339.17245,49.947513,7281.351,557.38529,53.2049595,2.8188622,19.757584,14.8820595,0.114329985,0.029274,3803.520569,1,0,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",100,546.25,632.3195123,19.00669643,977.7897213,0.3434,"1","0","0","2","N",0.003803520569,262.914313688834,3.85759157702086,1.467242891,546.25,5.34853871782122,0.499230904116432,"no",5.57182817562778,1.35004304496584,0.38338505532615,6.3030767464098
"320","burrawan.au",151.139517,-27.734896,2011,2,18,"NK","Poaceae","ERAGROSTIS CURVULA",15,1.388908949,44.24341961,-13.25487871,7416.4,0.18266,655.46,10.51,80.12,1390.04,65.55,12623.35,317.56,45.2,4.61,12.21,10.4,0.09,NA,4041.691553,1,0,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",65,419.2,632.3195123,19.00669643,977.7897213,0.3434,"1","0","1","2","NK",0.004041691553,247.421156930626,3.4364545903288,1.388908949,272.48,5.32546713089409,0.48708796362847,"no",5.51109197340236,1.234440297562,0.328518510147733,5.60756521691438
"321","burrawan.au",151.139517,-27.734896,2011,2,19,"PK","Poaceae","ERAGROSTIS CURVULA",15,1.045918188,44.45366164,-13.48775339,6207.22,0.1997,2175.732218,10.0958294,52.04481037,1900.391416,71.26467809,10862.46457,424.348765,61.43879066,3.606424619,13.48630045,17.70819274,0.084545823,0.269942,3371.085271,0,1,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",60,481.6,632.3195123,19.00669643,977.7897213,0.3434,"0","1","1","2","PK",0.003371085271,296.640375312535,3.10261563834527,1.045918188,288.96,5.56278283301382,0.611990964744114,"no",5.69252054758885,1.13224551003546,0.0448951484347054,5.66628827022862
"322","burrawan.au",151.139517,-27.734896,2011,2,20,"Control","Poaceae","ERAGROSTIS CURVULA",15,1.060140594,49.80109669,-13.52574228,6993.7622,0.2449,626.4934439,8.954037068,87.70908215,1725.266561,44.33645911,6746.852473,549.3865585,51.08331158,2.698740989,10.13955543,18.21650168,0.054456738,0.102263,2881.924686,0,0,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",75,232.3,632.3195123,19.00669643,977.7897213,0.3434,"0","0","0","2","Control",0.002881924686,346.99033075287,3.67858535356604,1.060140594,174.225,5.60150681759444,0.632372009260234,"no",5.84929691429311,1.30252826348269,0.0584015351776758,5.16034756732458
"323","burrawan.au",151.139517,-27.734896,2011,3,21,"N","Poaceae","ERAGROSTIS CURVULA",15,1.317529754,47.79403627,-13.31475164,6126.96,503.13286,941.5418,6.9014536,NA,2105.3257,50.398773,7250.3498,718.58279,21.483403,2.2510974,17.851059,22.056931,0.065692853,0.067963,1705.183284,1,0,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",60,190.05,632.3195123,19.00669643,977.7897213,0.3434,"1","0","0","3","N",0.001705183284,586.447222057098,7.72661664210872,1.317529754,114.03,5.3864711657885,0.519195350414997,"no",6.37408267607693,2.04467107494843,0.275758584859587,4.73646157166927
"324","burrawan.au",151.139517,-27.734896,2011,3,22,"NK","Poaceae","ERAGROSTIS CURVULA",15,1.381239621,50.03072179,-13.45097986,5218.4,0.18918,402.9524116,12.63658062,62.36168275,7579.342981,21.10703109,786.7166132,383.7642016,2878.231512,211.0703109,2.878231512,8.826576636,0.124723366,27.822905,2795.828743,1,0,1,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",15,189.25,632.3195123,19.00669643,977.7897213,0.3434,"1","0","1","3","NK",0.002795828743,357.675699022599,4.94035846958885,1.381239621,28.3875,5.52530056664235,0.592263456127554,"no",5.87962670720178,1.59743789326124,0.322981372047549,3.34594890743168
"325","burrawan.au",151.139517,-27.734896,2011,3,23,"P","Poaceae","ERAGROSTIS CURVULA",15,1.183083542,47.39575446,-13.52331678,5218.4,0.18422,2207.792685,14,66.84142991,3544.621283,43.64947923,7372.812269,800.0716611,31.39521708,3.27117907,12.82140156,33.42071496,0.080007166,0.068867,2826.864334,0,1,0,"no",2009,"Burrawan","Australia","AU","Australia","semiarid grassland","PERENNIAL","GRASS","C4",75,208.15,632.3195123,19.00669643,977.7897213,0.3434,"0","1","0","3","P",0.002826864334,353.748847432308,4.18514439398633,1.183083542,156.1125,5.5990342944256,0.631070681276633,"no",5.86858719081026,1.43154120609088,0.168124201268712,5.0505769011892
