"","site_code","Long","Lat","year","block","plot","trt","Family","Taxon","num_leaves","leaf_pct_N","leaf_pct_C","leaf_C13_delta_PDB","leaf_area_mm2","leaf_dry_mass_g","leaf_ppm_P","leaf_ppm_B","leaf_ppm_Na","leaf_ppm_Ca","leaf_ppm_Fe","leaf_ppm_K","leaf_ppm_Mg","leaf_ppm_Mn","leaf_ppm_Cu","leaf_ppm_Zn","leaf_ppm_Sr","leaf_ppm_Pb","leaf_ppm_Mo","SLA_v2","Ntrt","Ptrt","Ktrt","Nfix","first_nutrient_year","site_name","continent","country","region","habitat","lifespan","lifeform","photosynthetic_pathway","max_cover","live_mass","precip.mean","tmp","par2_gs","aridity","Ntrt_fac","Ptrt_fac","Ktrt_fac","block_fac","trt_fac","sla_m2_g","lma","narea","nmass","spp_live_mass","delta","chi","fence","loglma","lognarea","lognmass","log_spp_live_mass"
"2423","summ.za",30.71573,-29.81161,2012,1,4,"NPK","Poaceae","THEMEDA TRIANDRA",5,1.726789889,49.30435671,-13.758,9.5,0.05,1323.705,12.776095,57.5824,6268.495,96.9731,5600.48,1653.522,146.6182,5.11241,24.03375,48.0182,0.273615,0.08381,1900,1,1,1,"no",2011,"Summerveld","Africa","ZA","Sub-saharan Africa","mesic grassland","PERENNIAL","GRASS","C4",62,464.475,927.4463416,19.4514881,803.3318762,0.6197,"1","1","1","1","NPK",0.0019,526.315789473684,9.0883678368421,1.726789889,287.9745,5.83832365687123,0.75701245098486,"no",6.26590139280974,2.20699533616434,0.546264129342687,5.66287193454923
"2424","summ.za",30.71573,-29.81161,2012,1,5,"PK","Poaceae","THEMEDA TRIANDRA",5,1.9087912,59.37979418,-13.793,9.145,0.0432,641.0071,15.130024,42.109327,4705.865,135.35671,7036.53,2215.1709,132.98151,3.97846,18.770018,36.87498,0.4302081,0.2321758,2116.898148,0,1,1,"no",2011,"Summerveld","Africa","ZA","Sub-saharan Africa","mesic grassland","PERENNIAL","GRASS","C4",32,266.725,927.4463416,19.4514881,803.3318762,0.6197,"0","1","1","1","PK",0.002116898148,472.389283794678,9.01692507881584,1.9087912,85.352,5.874020362865,0.775800190981577,"no",6.15780339946531,2.19910337560179,0.646470162124567,4.44678388188916
"2425","summ.za",30.71573,-29.81161,2012,1,6,"P","Poaceae","THEMEDA TRIANDRA",2,1.925152506,49.01156087,-13.462,2.387,0.0108,2023.86795,13.7889635,39.673595,4408.4495,84.4016,10051.951,776.07335,444.76575,5.435209,63.81102,29.5505795,0.30606745,1.0066654,2210.185185,0,1,0,"no",2011,"Summerveld","Africa","ZA","Sub-saharan Africa","mesic grassland","PERENNIAL","GRASS","C4",1,266.025,927.4463416,19.4514881,803.3318762,0.6197,"0","1","0","1","P",0.002210185185,452.45077506933,8.71036743466363,1.925152506,2.66025,5.53653280461574,0.598175160324072,"no",6.11467897284536,2.16451397535507,0.655005188497804,0.978420103339704
"2426","summ.za",30.71573,-29.81161,2012,1,7,"NK","Poaceae","THEMEDA TRIANDRA",5,1.649054194,49.84080671,-13.73,9.135,0.0479,858.494,13.018208,150.46696,6372.044,170.05408,11316.172,1668.394,221.51388,4.69742,27.94778,50.3384,0.8806728,0.1896412,1907.098121,1,0,1,"no",2011,"Summerveld","Africa","ZA","Sub-saharan Africa","mesic grassland","PERENNIAL","GRASS","C4",55,513.075,927.4463416,19.4514881,803.3318762,0.6197,"1","0","1","1","NK",0.001907098121,524.35686920799,8.64692894320145,1.649054194,282.19125,5.80976811623592,0.741983219071537,"no",6.26217250061987,2.15720422243573,0.500201907803952,5.64258503255955
"2427","summ.za",30.71573,-29.81161,2012,1,8,"NP","Poaceae","THEMEDA TRIANDRA",5,1.690758671,48.05740807,-13.533,9.033,0.0455,1960.3674,10.299258,237.03192,2765.853,122.81733,6346.323,1631.1564,98.11449,3.457917,18.846729,13.09635,0.2998944,0.1016469,1985.274725,1,1,0,"no",2011,"Summerveld","Africa","ZA","Sub-saharan Africa","mesic grassland","PERENNIAL","GRASS","C4",50,367.775,927.4463416,19.4514881,803.3318762,0.6197,"1","1","0","1","NP",0.001985274725,503.708624004167,8.51649723692523,1.690758671,183.8875,5.60890531563651,0.636265955598163,"no",6.22199797391567,2.14200513388061,0.525177345953034,5.21432415757633
"2428","summ.za",30.71573,-29.81161,2012,1,9,"Control","Poaceae","THEMEDA TRIANDRA",5,1.515434241,48.58657272,-13.688,9.614,0.0552,686.0908,14.416653,258.40162,1187.5396,313.8914,13464.289,1174.4203,128.71491,4.305074,19.48459,6.700561,0.5500388,0.1982472,1741.666667,0,0,0,"no",2011,"Summerveld","Africa","ZA","Sub-saharan Africa","mesic grassland","PERENNIAL","GRASS","C4",7,347.975,927.4463416,19.4514881,803.3318762,0.6197,"0","0","0","1","Control",0.001741666667,574.16267931595,8.70105784139693,1.515434241,24.35825,5.76693784522545,0.719440971171288,"no",6.35291276960798,2.16344460923412,0.415702025614227,3.19287060118069
"2429","summ.za",30.71573,-29.81161,2012,2,11,"PK","Poaceae","THEMEDA TRIANDRA",5,1.594513482,49.22584768,-13.476,8.036,0.0429,1406.5011,10.958598,81.2295,1464.5925,74.214225,13385.637,756.1728,110.352,4.017168,27.691875,10.0158435,0.1762434,1.028907,1873.193473,0,1,1,"no",2011,"Summerveld","Africa","ZA","Sub-saharan Africa","mesic grassland","PERENNIAL","GRASS","C4",40,324.425,927.4463416,19.4514881,803.3318762,0.6197,"0","1","1","2","PK",0.001873193473,533.847685470768,8.51227331817635,1.594513482,129.77,5.55080261605394,0.605685587396813,"no",6.28011056507266,2.14150904183194,0.466568662747375,4.86576365274914
"2430","summ.za",30.71573,-29.81161,2012,2,12,"N","Poaceae","THEMEDA TRIANDRA",5,1.767941577,49.22692343,-13.481,9.411,0.0511,1604.65185,16.9818885,34.8917625,5501.4525,114.779745,8462.637,503.86905,326.64105,5.2011495,41.673195,37.980945,0.3657789,0.27593415,1841.682975,1,0,0,"no",2011,"Summerveld","Africa","ZA","Sub-saharan Africa","mesic grassland","PERENNIAL","GRASS","C4",52,417.375,927.4463416,19.4514881,803.3318762,0.6197,"1","0","0","2","N",0.001841682975,542.981617126585,9.59959776464785,1.767941577,217.035,5.55589907543595,0.608367934439974,"no",6.29707546508202,2.26172119808013,0.569815918986206,5.38005863085715
"2431","summ.za",30.71573,-29.81161,2012,2,13,"K","Poaceae","THEMEDA TRIANDRA",5,1.468394836,47.5830244,-13.71,7.18,0.0375,814.0938,15.470637,20.280975,5909.436,105.98445,7106.073,1049.139,322.16418,4.919772,61.6161,47.86548,0.3578016,0.5726253,1914.666667,0,0,1,"no",2011,"Summerveld","Africa","ZA","Sub-saharan Africa","mesic grassland","PERENNIAL","GRASS","C4",10,291.275,927.4463416,19.4514881,803.3318762,0.6197,"0","0","1","2","K",0.001914666667,522.284122471747,7.66919308362305,1.468394836,29.1275,5.78937229415284,0.731248575869914,"no",6.25821173573023,2.03721140562357,0.38416985588143,3.37168274511196
"2432","summ.za",30.71573,-29.81161,2012,2,14,"NK","Poaceae","THEMEDA TRIANDRA",5,1.592357792,45.82460877,-13.634,11.304,0.0558,775.0453,14.444755,3.4859856,3118.051,88.77625,9269.386,658.2043,125.04278,4.19253,27.51491,23.828691,0.2666724,0.02295582,2025.806452,1,0,1,"no",2011,"Summerveld","Africa","ZA","Sub-saharan Africa","mesic grassland","PERENNIAL","GRASS","C4",6,659.425,927.4463416,19.4514881,803.3318762,0.6197,"1","0","1","2","NK",0.002025806452,493.630573154083,7.86036489531331,1.592357792,39.5655,5.71187571347755,0.690460901830291,"no",6.20178740980205,2.06183302970365,0.465215805889698,3.67795752641338
